title,date,description,call_number,contributor_names,format,language,mime_type,subject,partof
"Buzzer the cat, portrait photograph",1912-01-01,['1 negative : glass ; 5 x 7 in.'],LC-G432- 0187 [P&P],"['Genthe, Arnold, 1869-1942, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['cats', 'portrait photographs', 'animals & pets', 'genthe, arnold', 'glass negatives']","{'count': 16870, 'title': 'genthe collection', 'url': 'https://www.loc.gov/collections/genthe/?fo=json'}"
Buzzer the cat lying on a chair next to a doll,1911-01-01,"['1 photograph : autochrome, color ; 5 x 7 in.']",LC-G41- 0090-A [P&P],"['Genthe, Arnold, 1869-1942, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['cats', 'portrait photographs', 'animals & pets', 'genthe, arnold', 'autochromes']","{'count': 16870, 'title': 'genthe collection', 'url': 'https://www.loc.gov/collections/genthe/?fo=json'}"
What George asked the cat,1888-01-01,['1 drawing : wash.'],"CAI - Stephens (A.B.), no. 19 (A size) [P&P]","['Stephens, Alice Barber, 1858-1932, artist']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['interiors', 'cats', 'book illustrations', 'children', 'drawings']","{'count': 3933, 'title': 'cabinet of american illustration', 'url': 'https://www.loc.gov/collections/cabinet-of-american-illustration/?fo=json'}"
"[Cat and kitten drinking milk] / drawn & published by Ch. Fenderich, no. 37 North 4th St., Phila.",1832-01-01,['1 print : lithograph.'],"PGA - Fenderich, no. 63 & 63a (A size) [P&P]","['Fenderich, Charles, artist', 'Mind, Gottfried, 1768-1814, artist', 'Childs & Inman, printer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'reproductions', 'cats', 'eating & drinking']","{'count': 18849, 'title': 'popular graphic arts', 'url': 'https://www.loc.gov/collections/popular-graphic-arts/?fo=json'}"
John B. Moisant,1911-01-01,"['1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)']","BIOG FILE - Moisant, John B. [item] [P&P]",not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']",['cats'],"{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
In the Rogue's Gallery,1898-01-01,['1 photographic print. | A cat is posed seated on a chair in front of another cat operating a camera.'],SSF - Animals in Human Situations <item> [P&P],not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['photographic prints', 'photography', 'cameras', 'humorous pictures', 'cats', 'animals in human situations']","{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
The Cat,1916-01-01,['1 photomechanical print : photogravure.'],Illus. in TR1.C5 1916/1917 (Case X) [P&P],"['Eugene, Frank, 1865-1936, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['periodical illustrations', 'cats', 'photogravures']","{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}"
Washington cat show opens at Wardman Park Hotel,1920-01-01,['1 photographic print. | Edna B. Doughty and Louise Grogan with Persian cats.'],LOT 12342-8 <item> [P&P],not found,"[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['washington (d.c.)', 'portrait photographs', 'photographic prints', 'cats', 'doughty, edna b', 'group portraits', 'grogan, louise', 'doughty, edna b.']","{'count': 104, 'title': 'lot 12342', 'url': 'https://www.loc.gov/search/?fa=partof:lot+12342&fo=json'}"
"[Frances Benjamin Johnston's cats, Herman and Vermin, seated on brick railing of New Orleans house, Louisiana]",1945-01-01,['1 photographic print.'],LOT 11734-5 <item> [P&P],"['Johnston, Frances Benjamin, 1864-1952, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['photographic prints', 'johnston, frances benjamin', 'new orleans', 'cats', 'animals & pets', 'louisiana']","{'count': 72, 'title': 'lot 11734', 'url': 'https://www.loc.gov/search/?fa=partof:lot+11734&fo=json'}"
Animal locomotion,1887-01-01,['1 photomechanical print : collotype. | Twenty-four consecutive images of a cat running.'],"LOT 3309, plate 720 <item> [P&P]","['Muybridge, Eadweard, 1830-1904, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['animal locomotion', 'cats', 'book illustrations', 'motion study photographs', 'collotypes']","{'count': 92, 'title': 'lot 3309', 'url': 'https://www.loc.gov/search/?fa=partof:lot+3309&fo=json'}"
