image,link,title
/static/portals/free-to-use/public-domain/cats/16.jpg,/resource/ppmsca.15528/,"Edward Penfield, his book. Bookplate, ca. 1900-1925"
/static/portals/free-to-use/public-domain/cats/1.jpg,/resource/pga.12042/,"The cat - Felis domesticus. Lithograph, published by L. Prang, 1872."
/static/portals/free-to-use/public-domain/cats/2.jpg,/resource/cph.3c21044/,"Animal locomotion, Twenty-four consecutive images of a cat running. Photos by Eadweard Muybridge, 1887"
/static/portals/free-to-use/public-domain/cats/3.jpg,/resource/jpd.02425/,"Domestic cat nursing kittens. Ukiyo-e woodcut by Tachibana Morikuni, 1720."
/static/portals/free-to-use/public-domain/cats/4.jpg,/resource/jpd.02798/,"A cat cleaning its claws. Drawing by Katsushika Hokusai, between 1830 and 1850"
/static/portals/free-to-use/public-domain/cats/5.jpg,/resource/cph.3b06249/,"Cat and Kitten Drinking Milk. Charles Fenderich, 1832."
/static/portals/free-to-use/public-domain/cats/6.jpg,/resource/cph.3g08753/,"Cat. Ukioy-e drawing by Andō Hiroshige, 1840s."
/static/portals/free-to-use/public-domain/cats/7.jpg,/resource/pga.05046/,"The Three White Kittens: Peace. Lithograph by Currier & Ives and artist Otto Stark, 1879-1907."
/static/portals/free-to-use/public-domain/cats/8.jpg,/resource/pga.07149/,"Two Cats. Lthograph by Thomas Hunter, 1881."
/static/portals/free-to-use/public-domain/cats/9.jpg,/resource/cai.2a15065/,"What George asked the cat. Drawing by Alice Barber Stephens, 1888."
/static/portals/free-to-use/public-domain/cats/10.jpg,/resource/ppmsca.18772/,"Evolution of a cat-cher. Lithograph by H.S. Crocker & Co., S.F., 1889."
/static/portals/free-to-use/public-domain/cats/11.jpg,/resource/ppmsca.43507/,"The Black Cat. Magazine cover, 1890s"
/static/portals/free-to-use/public-domain/cats/12.jpg,/resource/cph.3g03063/,"Harper's May. Magazine poster by Edward Penfield, 1896."
/static/portals/free-to-use/public-domain/cats/13.jpg,/resource/cph.3b52525/,Poster calendar 1897 by Edward Penfield.
/static/portals/free-to-use/public-domain/cats/14.jpg,/resource/cph.3g03065/,"Harper's July. Poster by Edward Penfield, 1898."
/static/portals/free-to-use/public-domain/cats/15.jpg,/resource/cph.3b39357/,"In the Rogue's Gallery. Photograph, 1898."
/static/portals/free-to-use/public-domain/cats/17.jpg,/resource/rbc0001.2003juv0001/?sp=1,The book of the cat...
